"runid","attempt","file","rows","cols","withna","package","sample","timing","bytes","platform","experiment_date"
"master",warmup,"mixed.csv",100,20,true,"Julia TextParse.jl",1,7.5834073,1.129206032e9,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia TextParse.jl",1,0.015168301,493904.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia TextParse.jl",1,0.004898301,493904.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia TextParse.jl",2,7.4870414,1.129206032e9,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia TextParse.jl",2,0.015185599,493904.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia TextParse.jl",2,0.004422299,493904.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia TextParse.jl",3,8.323983901,1.129206032e9,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia TextParse.jl",3,0.014946101,493904.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia TextParse.jl",3,0.004477401,493904.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia TextParse.jl",4,7.5186724,1.129206032e9,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia TextParse.jl",4,0.020799899,493904.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia TextParse.jl",4,0.0045208,493904.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia TextParse.jl",5,7.433194099,1.129206032e9,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia TextParse.jl",5,0.0148646,493904.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia TextParse.jl",5,0.004484701,493904.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia CSVFiles.jl",1,15.212814899,3.049828932e9,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia CSVFiles.jl",1,0.0195985,568800.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia CSVFiles.jl",1,0.004081301,568800.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia CSVFiles.jl",2,15.419407101,3.049828932e9,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia CSVFiles.jl",2,0.0194833,568800.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia CSVFiles.jl",2,0.0039332,568800.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia CSVFiles.jl",3,14.634238799,3.049828932e9,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia CSVFiles.jl",3,0.0156634,568800.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia CSVFiles.jl",3,0.0044018,568800.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia CSVFiles.jl",4,14.633663599,3.049828932e9,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia CSVFiles.jl",4,0.0186809,568800.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia CSVFiles.jl",4,0.004046801,568800.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia CSVFiles.jl",5,14.6695816,3.049828932e9,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia CSVFiles.jl",5,0.015767401,568800.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia CSVFiles.jl",5,0.0039724,568800.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia v0.6 TextParse.jl",1,3.978934299,1.65615982e8,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia v0.6 TextParse.jl",1,0.0134976,1.2768e6,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia v0.6 TextParse.jl",1,0.002695901,1.2768e6,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia v0.6 TextParse.jl",2,4.3760559,1.65615982e8,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia v0.6 TextParse.jl",2,0.0131712,1.2768e6,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia v0.6 TextParse.jl",2,0.003152,1.2768e6,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia v0.6 TextParse.jl",3,4.2039097,1.65615982e8,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia v0.6 TextParse.jl",3,0.0134355,1.2768e6,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia v0.6 TextParse.jl",3,0.002672301,1.2768e6,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia v0.6 TextParse.jl",4,4.188667501,1.65615982e8,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia v0.6 TextParse.jl",4,0.0089945,1.2768e6,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia v0.6 TextParse.jl",4,0.0027117,1.2768e6,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia v0.6 TextParse.jl",5,4.1745408,1.65615982e8,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia v0.6 TextParse.jl",5,0.0132833,1.2768e6,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia v0.6 TextParse.jl",5,0.0029975,1.2768e6,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia v0.6 CSV.jl",1,7.7335934,5.15015536e8,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia v0.6 CSV.jl",1,0.021340501,827408.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia v0.6 CSV.jl",1,0.0087855,827408.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia v0.6 CSV.jl",2,7.7408913,5.15015536e8,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia v0.6 CSV.jl",2,0.0090647,827408.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia v0.6 CSV.jl",2,0.009521701,827408.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia v0.6 CSV.jl",3,7.8055491,5.15015536e8,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia v0.6 CSV.jl",3,0.0098302,827408.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia v0.6 CSV.jl",3,0.0092925,827408.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia v0.6 CSV.jl",4,7.490413,5.15015536e8,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia v0.6 CSV.jl",4,0.009014799,827408.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia v0.6 CSV.jl",4,0.0090274,827408.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia v0.6 CSV.jl",5,7.4847065,5.15015536e8,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia v0.6 CSV.jl",5,0.0090553,827408.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia v0.6 CSV.jl",5,0.008679999,827408.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia CSV.jl",1,6.0840872,1.047774412e9,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia CSV.jl",1,0.0011287,52472.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia CSV.jl",1,0.000630401,52472.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia CSV.jl",2,6.125533299,1.047774412e9,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia CSV.jl",2,0.0011559,52472.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia CSV.jl",2,0.000654799,52472.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia CSV.jl",3,6.0510765,1.047774412e9,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia CSV.jl",3,0.001015701,52472.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia CSV.jl",3,0.0006168,52472.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia CSV.jl",4,6.3655715,1.047774412e9,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia CSV.jl",4,0.0010596,52472.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia CSV.jl",4,0.0006625,52472.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia CSV.jl",5,6.306004,1.047774412e9,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia CSV.jl",5,0.001184001,52472.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia CSV.jl",5,0.0006674,52472.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia CSV.jl copycols",1,6.5814661,1.142327218e9,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia CSV.jl copycols",1,0.001057399,113064.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia CSV.jl copycols",1,0.000736401,113064.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia CSV.jl copycols",2,6.6938127,1.142327218e9,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia CSV.jl copycols",2,0.0010317,113064.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia CSV.jl copycols",2,0.000712201,113064.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia CSV.jl copycols",3,6.5175604,1.142327218e9,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia CSV.jl copycols",3,0.0012379,113064.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia CSV.jl copycols",3,0.000715901,113064.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia CSV.jl copycols",4,6.737268101,1.142327218e9,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia CSV.jl copycols",4,0.001169499,113064.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia CSV.jl copycols",4,0.000718599,113064.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia CSV.jl copycols",5,6.661710001,1.142327218e9,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia CSV.jl copycols",5,0.0011886,113064.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia CSV.jl copycols",5,0.0007181,113064.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia DataFrames.jl",1,2.6324486,5.2593201e8,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia DataFrames.jl",1,0.0034569,358160.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia DataFrames.jl",1,0.0029531,356576.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia DataFrames.jl",2,2.6698652,5.2593201e8,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia DataFrames.jl",2,0.002990101,358160.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia DataFrames.jl",2,0.0029207,356576.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia DataFrames.jl",3,2.7165346,5.2593201e8,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia DataFrames.jl",3,0.0030307,358160.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia DataFrames.jl",3,0.0029394,356576.0,"Windows",2019-07-10T05:24:18.445
